"","id","Serial.Number","List.Year","Date.Recorded","Address","Assessed.Value","Sale.Amount","Sales.Ratio","Property.Type","Non.Use.Code","Zone.Name","Zone.Classification","Location"
"12940",12940,190465,2019,2019-12-16,"772-774 WILLIAM ST",140250,250000,0.561,"Two Family",NA,"1607-10","NX2",c(-73.184777, 41.19483)
"12941",12941,190467,2019,2019-12-17,"625 EVERS ST",175580,249000,0.7051,"Single Family",NA,"2810-5","N2",c(-73.168352, 41.2140512)
"12942",12942,190468,2019,2019-12-17,"134 CLARKE ST",4430,2700,1.6407,NA,"25","2372-14","N2",c(-73.210514, 41.208264)
"12943",12943,190471,2019,2019-12-17,"24-26 ALEX ST",107080,141000,0.7594,"Two Family","25","654-12","NX2",c(-73.1613419, 41.1777607)
"12944",12944,190473,2019,2019-12-18,"85 ASYLUM ST",24880,24880,1,NA,"25","2021-22X","NX1",c(-73.176922, 41.198042)
"12945",12945,190474,2019,2019-12-18,"374 MAPLEDALE PL",134690,210000,0.6414,"Single Family",NA,"2848-69","N2",c(-73.1708764, 41.2192469)
"12946",12946,190476,2019,2019-12-18,"2328 MAIN ST",471490,735000,0.6415,NA,NA,"2033-1","RX1",c(-73.1786494, 41.2067363)
"12947",12947,190477,2019,2019-12-18,"784 FAIRVIEW AVE",175770,95000,1.8502,"Two Family","25","2229-5X","N2",c(-73.213818, 41.2017981)
"12948",12948,190478,2019,2019-12-18,"525 SAUNDERS AVE",131537,329000,0.3998,"Single Family","7","2713-8","N2",c(-73.1978556, 41.2107931)
"12949",12949,190480,2019,2019-12-18,"45-49 PEARL HARBOR PL",88450,131000,0.6752,"Two Family","14","1942-17","N2",c(-73.1593408, 41.2040682)
"12950",12950,190481,2019,2019-12-18,"85 BROOKSIDE AVE",98500,234900,0.4193,"Single Family","7","2797-14A","N2",c(-73.1930164, 41.2238918)
"12951",12951,190483,2019,2019-12-19,"52 QUINLAN AVE",242660,280000,0.8666,"Single Family",NA,"153-6","N2",c(-73.2305076, 41.1510127)
"12952",12952,190486,2019,2019-12-19,"1110 OGDEN ST EXT",93490,137500,0.6799,"Single Family","7","1811-35","NX2",c(-73.1690355, 41.1910337)
"12953",12953,190490,2019,2019-12-19,"2 HOWARD CT",77800,147500,0.5275,"Single Family",NA,"1209-10","NX2",c(-73.2147389, 41.1755924)
"12954",12954,190491,2019,2019-12-19,"397 NORTH WASHINGTON AVE",108700,130000,0.8362,NA,"25","1533-5","CX",c(-73.1926542, 41.1921154)
"12955",12955,190492,2019,2019-12-19,"1106 OGDEN ST",101420,137500,0.7376,"Single Family","16","1811-34","NX2",c(-73.1689301, 41.1909729)
"12956",12956,190496,2019,2019-12-20,"35 SHERMAN PARK LANE",64290,140000,0.4592,"Single Family","1","865-18K","NX3",c(-73.1769989, 41.181541)
"12957",12957,190498,2019,2019-12-20,"640 BIRMINGHAM ST",106440,178000,0.598,"Single Family","25","2336-5","N2",c(-73.2176028, 41.2062926)
"12958",12958,190500,2019,2019-12-23,"58-F PATRICIA RD",62480,169900,0.3677,"Condo",NA,"2511-3B","NX3",c(-73.227, 41.21658)
"12959",12959,190501,2019,2019-12-23,"78 HANFORD AVE",92040,85500,1.0765,NA,NA,"121-5","NX1",c(-73.2277644, 41.1549296)
"12960",12960,190503,2019,2019-12-23,"48 YARRINGTON CT UNIT 11",46540,80000,0.5818,"Single Family",NA,"656-11K","NX2",c(-73.1619285, 41.1760578)
"12961",12961,190504,2019,2019-12-23,"186 BERKSHIRE AVE",102860,166250,0.6187,"Single Family",NA,"1613-13","NX2",c(-73.1833775, 41.1935183)
"12962",12962,190507,2019,2019-12-23,"1247 PEMBROKE ST",93260,137500,0.6783,"Condo","16","1737-15K","NX2",c(-73.1775435, 41.1912565)
"12963",12963,190509,2019,2019-12-23,"559 GLENDALE AVE #G",58880,120500,0.4886,"Condo",NA,"2387-5A","NX3",c(-73.2216077, 41.2109373)
"12964",12964,190511,2019,2019-12-23,"347 JEWETT AVE",113210,259000,0.4371,"Single Family","7","2384-17A","N2",c(-73.2166973, 41.210799)
"12965",12965,190513,2019,2019-12-23,"85-87 ASH ST",108170,328000,0.3298,"Three Family",NA,"1222-38","NX2",c(-73.2178831, 41.1696336)
"12966",12966,190514,2019,2019-12-23,"310-312 BOND ST",74200,150000,0.4947,"Two Family",NA,"1906-14A","NX2",c(-73.167946, 41.197483)
"12967",12967,190517,2019,2019-12-24,"330 FAIRFAX RD",130730,229900,0.5686,"Single Family",NA,"2823-6A","N2",c(-73.1663758, 41.2178035)
"12968",12968,190520,2019,2019-12-24,"593 NOBLE AVE",110750,180000,0.6153,"Four Family","25","1636-19","NX2",c(-73.1843468, 41.189647)
"12969",12969,190522,2019,2019-12-24,"2994-B MADISON AVE UNIT B",53960,114000,0.4733,"Condo",NA,"2511-6A","NX3",c(-73.2271492, 41.2151491)
"12970",12970,190525,2019,2019-12-26,"989-991 HANCOCK AVE",160120,212000,0.7553,NA,NA,"1216-45","NX2",c(-73.2151393, 41.1727353)
"12971",12971,190530,2019,2020-01-10,"75 LESLIE RD UNIT D",62340,170000,0.3667,"Condo",NA,"2511-3B","NX3",c(-73.2266762, 41.2158047)
"12972",12972,190534,2019,2020-01-13,"390 CHARLES ST UNIT 308",37460,92000,0.4072,"Condo",NA,"1406-23K","NX2",c(-73.2024993, 41.1936899)
"12973",12973,190535,2019,2020-01-13,"1862-1870 EAST MAIN ST",481450,667500,0.7213,NA,"25","2026-12A","MX1",c(-73.179665, 41.200128)
"12974",12974,190538,2019,2020-01-13,"5 PEARL HARBOR PLACE",69530,188000,0.3698,"Single Family","7","1942-9","N2",c(-73.1596696, 41.2040125)
"12975",12975,190545,2019,2020-01-14,"2168-2174 SEAVIEW AVE",114480,185000,0.6188,NA,NA,"1805-3","NX2",c(-73.1699749, 41.1926807)
"12976",12976,190547,2019,2020-01-14,"2226 FAIRFIELD AVE",222810,845000,0.2637,NA,NA,"208-15A","RX1",c(-73.2203888, 41.1644107)
"12977",12977,190548,2019,2020-01-14,"594 WAYNE ST",109510,225000,0.4867,"Single Family",NA,"2235-4","N1",c(-73.2092886, 41.2055668)
"12978",12978,190549,2019,2020-01-15,"2612 NORTH AVE UNIT B-24",94330,134000,0.704,"Condo",NA,"1301-5K","NX3",c(-73.2202355, 41.177124)
"12979",12979,190553,2019,2020-01-15,"63-67 HARBORVIEW AVE",243370,275000,0.885,"Three Family",NA,"131-24","NX1",c(-73.225311, 41.1529579)
"12980",12980,190554,2019,2020-01-15,"488 QUEEN ST",90160,150100,0.6007,"Single Family",NA,"2361-10","N2",c(-73.2180065, 41.208447)
"12981",12981,190557,2019,2020-01-16,"114 CLEVELAND AVE",134230,177675,0.7555,"Two Family","11","1433-13","NX1",c(-73.207289, 41.192757)
"12982",12982,190558,2019,2020-01-16,"327 EAST PASADENA PL",117030,229700,0.5095,"Single Family",NA,"2822-3","N2",c(-73.1658011, 41.2163634)
"12983",12983,190559,2019,2020-01-16,"25 BURNHAM ST",6587990,110000,59.8908,NA,"8","429-10","NX3",c(-73.19825, 41.16528)
"12984",12984,190560,2019,2020-01-16,"508 PEET STREET",115470,160000,0.7217,"Single Family",NA,"2366-14","N2",c(-73.2192223, 41.2116299)
"12985",12985,190564,2019,2020-01-16,"536-538-540 LAUREL AVE",115350,320000,0.3605,"Three Family",NA,"1127-2","NX1",c(-73.2083177, 41.1763179)
"12986",12986,190567,2019,2020-01-17,"2997 OLD TOWN RD",147760,287000,0.5148,"Single Family",NA,"2502B-8B","N4",c(-73.2251222, 41.2261728)
"12987",12987,190576,2019,2020-01-21,"83 HUNTINGTON TPK",53190,90000,0.591,"Condo",NA,"2800-4K","NX3",c(-73.1782308, 41.2116261)
"12988",12988,190577,2019,2020-01-21,"388 CATHERINE ST",94900,180000,0.5272,"Single Family",NA,"1019-4","NX2",c(-73.1987408, 41.1872479)
"12989",12989,190579,2019,2020-01-21,"135 TAFT AVE",115370,319000,0.3617,"Two Family","7","1438-6A","NX1",c(-73.2060446, 41.1905247)
"12990",12990,190585,2019,2020-01-22,"1046 SYLVAN AVE",94210,130000,0.7247,"Single Family",NA,"2756-3","N2",c(-73.1871664, 41.2162037)
"12991",12991,190591,2019,2020-01-23,"100 CHALMERS AVE",143100,180489,0.7928,"Single Family","14","1423-15","N1",c(-73.2074906, 41.1868534)
"12992",12992,190594,2019,2020-01-24,"50-52 MILL HILL AVE",124050,310000,0.4002,"Two Family",NA,"1817-14","NX1",c(-73.1652343, 41.1871064)
"12993",12993,190597,2019,2020-01-27,"25 CARTRIGHT ST UNIT 5B",34220,82000,0.4173,"Condo",NA,"1301-10","NX3",c(-73.2192649, 41.1774618)
"12994",12994,190601,2019,2020-01-27,"191 BIRDSEYE ST",102250,187000,0.5468,"Single Family",NA,"1312-24C","NX2",c(-73.2103738, 41.1823569)
"12995",12995,190602,2019,2020-01-27,"593 HAWLEY AVE",120730,290000,0.4163,"Single Family",NA,"2215-58","NX1",c(-73.207119, 41.1983525)
"12996",12996,190604,2019,2020-01-27,"577 FAIRVIEW AVE",107490,250000,0.43,"Single Family","7","2228-12","N2",c(-73.2100577, 41.2019114)
"12997",12997,190607,2019,2020-01-27,"25 HENDERSON ST",57320,120000,0.4777,"Single Family",NA,"2740-19A","N2",c(-73.1848357, 41.2136406)
"12998",12998,190608,2019,2020-01-27,"80 CHESTNUT ST",17260,50000,0.3452,"Condo",NA,"1009-1A","NX2",c(-73.20349, 41.18326)
"12999",12999,190611,2019,2020-01-28,"90 BEARDSLEY PARK TER",119550,215000,0.556,"Single Family",NA,"2007-30","NX1",c(-73.1803902, 41.2083757)
"13000",13000,190612,2019,2020-01-28,"54 MARCY RD",133200,151500,0.8792,"Single Family","14","2504A-19","N4",c(-73.2254373, 41.2236051)
"13001",13001,190613,2019,2020-01-29,"985 WOOD AVE",102880,147000,0.6999,"Single Family","14","1353-13","N1",c(-73.2143658, 41.1847368)
"13002",13002,190615,2019,2020-01-29,"73 BOSTON TER",67380,135000,0.4991,"Single Family","25","1912-28","NX1",c(-73.1629186, 41.1946737)
"13003",13003,190621,2019,2019-12-30,"1285 BOSTON AVE",718070,2250000,0.3191,NA,NA,"1901-1","RX2",c(-73.170547, 41.1982969)
"13004",13004,190628,2019,2019-12-31,"159 TRUMAN ST",29230,10000,2.923,NA,"25","2240-2A","N2",c(-73.2127779, 41.1973317)
"13005",13005,190631,2019,2019-12-31,"319 PIXLEE PL",142660,275000,0.5188,"Single Family",NA,"1825-10","NX1",c(-73.1606094, 41.1928712)
"13006",13006,190636,2019,2020-01-29,"31 REMINGTON ST UNT C-6",15320,45000,0.3404,"Condo",NA,"1908-21A","NX2",c(-73.1678187, 41.1939654)
"13007",13007,190638,2019,2020-01-29,"31 REMINGTON ST UNIT C-6",15320,45000,0.3404,"Condo","25","1908-21A","NX2",c(-73.1678187, 41.1939654)
"13008",13008,190639,2019,2020-01-29,"180D LOUISIANA UNIT 366",22600,55000,0.4109,"Condo","25","2036-50A","NX3",c(-73.1755164, 41.2093537)
"13009",13009,190640,2019,2020-01-29,"82-84 PRISCILLA ST",108940,2e+05,0.5447,"Two Family",NA,"2860-24","N2",c(-73.1743797, 41.2131541)
"13010",13010,190641,2019,2020-01-29,"350 GROVERS AVE UNIT #7D",116980,196500,0.5953,"Condo",NA,"122-1","NX1",c(-73.2233691, 41.1533929)
"13011",13011,190643,2019,2020-01-29,"59 ASH ST",98360,315000,0.3123,"Three Family",NA,"1222-33","NX2",c(-73.2178782, 41.169088)
"13012",13012,190644,2019,2020-01-30,"410 CHAMBERLAIN AVE",113430,240000,0.4726,"Two Family",NA,"2703-6","N2",c(-73.1957801, 41.2097245)
"13013",13013,190646,2019,2020-01-30,"326 EXETER ST",94470,136000,0.6946,"Single Family","14","2425-12","N2",c(-73.2047942, 41.2114424)
"13014",13014,190648,2019,2020-01-30,"133 VANGUARD ST",35480,35000,1.0137,NA,NA,"2313-24","N2",c(-73.2171476, 41.2172369)
"13015",13015,190649,2019,2020-01-31,"171 BUNNELL ST",115330,223000,0.5172,"Two Family",NA,"736-23","NX2",c(-73.1674316, 41.1804144)
"13016",13016,190650,2019,2020-01-31,"320 NORLAND AVE",109740,154000,0.7126,"Single Family","14","2612-6","N2",c(-73.2112761, 41.2144996)
"13017",13017,190651,2019,2020-01-31,"85-87 CROWTHER AVE",133820,175100,0.7642,"Two Family","14","217-29A","NX1",c(-73.2251016, 41.1625242)
"13018",13018,190656,2019,2020-02-03,"41-43 COLUMBIA ST",126420,50000,2.5284,"Three Family","25","408-10","NX2",c(-73.1949234, 41.1660479)
"13019",13019,190657,2019,2020-02-03,"600 NORTH SUMMERFIELD AVE",74080,115000,0.6442,"Single Family","14","1925-3","N2",c(-73.1616402, 41.1957797)
"13020",13020,190658,2019,2020-02-03,"793 POND ST",87620,335000,0.2616,"Single Family","7","2758-9A","N2",c(-73.1995545, 41.214455)
"13021",13021,190662,2019,2020-02-03,"108 BALSAM AVE",103380,160000,0.6461,"Single Family",NA,"2773-7","N2",c(-73.1864381, 41.2167599)
"13022",13022,190663,2019,2020-02-03,"28 BELL ST",60980,80000,0.7623,"Single Family","14","1813-15A","NX2",c(-73.1682277, 41.1915194)
"13023",13023,190665,2019,2020-02-03,"30 STEVENS ST UNIT 308",22850,75000,0.3047,"Condo","7","2410-43K","NX3",c(-73.2036156, 41.207922)
"13024",13024,190666,2019,2020-02-03,"36 BEAUVUE TER",156430,287000,0.5451,"Single Family",NA,"2551-38A","N4",c(-73.2189545, 41.2164798)
"13025",13025,190668,2019,2020-02-03,"448 QUEEN ST",96660,135500,0.7134,"Single Family",NA,"2361-14","N2",c(-73.2173959, 41.2087125)
"13026",13026,190670,2019,2020-02-04,"41 CLARKSON ST",168900,231750,0.7288,"Single Family","1","108-3","N1",c(-73.2300881, 41.1551243)
"13027",13027,190672,2019,2020-02-04,"84 CENTER ST",129070,255000,0.5062,"Two Family",NA,"1046-7A","NX2",c(-73.1953107, 41.1848762)
"13028",13028,190674,2019,2020-02-04,"114 COTTAGE ST",86330,305000,0.283,"Two Family","7","1155-4","NX2",c(-73.1991164, 41.1722482)
"13029",13029,190675,2019,2020-02-04,"222-226 WELLS ST",142850,281520,0.5074,"Two Family",NA,"2102-8","NX1",c(-73.196587, 41.1941446)
"13030",13030,190685,2019,2020-02-05,"726 HART ST",90070,346000,0.2603,"Single Family","7","2433-8","N2",c(-73.2018849, 41.2085457)
"13031",13031,190686,2019,2020-02-05,"16 NUTMEG RD",111820,185000,0.6044,"Single Family",NA,"2807-1","N2",c(-73.1728991, 41.2154196)
"13032",13032,190688,2019,2020-02-05,"448 HUNTINGTON TPKE",462210,760000,0.6082,NA,NA,"2807-3","MX2",c(-73.173349, 41.2149382)
"13033",13033,190691,2019,2020-02-06,"110 HARMONY ST",121290,205000,0.5917,"Single Family",NA,"2407-36","NX1",c(-73.2038469, 41.2071447)
"13034",13034,190694,2019,2020-02-07,"250 DAYTON RD",86230,58000,1.4867,"Single Family","14","2774-26A","N2",c(-73.1833722, 41.2175697)
"13035",13035,190697,2019,2020-02-10,"391 COLEMAN ST",56210,56000,1.0038,NA,NA,"1030-18","NX2",c(-73.2022103, 41.181485)
"13036",13036,190698,2019,2020-02-10,"1167-1169 KOSSUTH ST",133860,166000,0.8064,"Two Family","14","1612-16","NX2",c(-73.182258, 41.194437)
"13037",13037,190699,2019,2020-02-10,"606 WILMOT AVE #4",1346480,18000,74.8044,NA,"8","728-1","NX3",c(-73.1631758, 41.1822183)
"13038",13038,190700,2019,2020-02-11,"527 HUNTINGTON RD",152870,305000,0.5012,"Three Family",NA,"2016-10","NX1",c(-73.1821204, 41.2002126)
"13039",13039,190702,2019,2020-02-11,"437 EAST AVE",66810,80000,0.8351,"Single Family","14","1844-8","NX2",c(-73.1585396, 41.1919542)
"13040",13040,190705,2019,2020-02-11,"574 POND ST",100250,219000,0.4578,"Single Family","7","2721-21","N2",c(-73.1978315, 41.2119248)
"13041",13041,190707,2019,2020-02-12,"42-44 CLARENCEST",118270,340000,0.3479,"Two Family",NA,"801-10","RX1",c(-73.1837781, 41.1845386)
"13042",13042,190709,2019,2020-02-12,"485 GLENDALE AVE UNIT 8",78150,145000,0.539,"Condo",NA,"2387-5A","NX3",c(-73.2211219, 41.2111004)
"13043",13043,190711,2019,2020-02-12,"71 LANCE CIRCL UNIT 71",85910,153000,0.5615,"Condo",NA,"2547-13","NX3",c(-73.2332541, 41.2266642)
"13044",13044,190712,2019,2020-02-12,"111 VALLEY CIRCLE",133250,218000,0.6112,"Single Family",NA,"2450-10","N4",c(-73.2034567, 41.213537)
"13045",13045,190713,2019,2020-02-12,"153 CHERRY HILL DR UNIT 1A",45930,68000,0.6754,"Single Family","25","2511-9D","NX3",c(-73.2245321, 41.2144499)
"13046",13046,190716,2019,2020-02-12,"2353-2357 EAST MAIN ST",118550,50000,2.371,NA,"14","2009-30","MX1",c(-73.1791626, 41.2068469)
"13047",13047,190720,2019,2020-02-13,"245 HILLCREST RD",108960,188000,0.5796,"Single Family",NA,"2774-23","N2",c(-73.1833772, 41.2170671)
"13048",13048,190723,2019,2020-02-13,"141-143 MILNE ST",102280,205000,0.4989,"Two Family",NA,"1052-29","NX2",c(-73.197517, 41.181214)
"13049",13049,190724,2019,2020-02-13,"106 JUDSON PLACE",127020,191190,0.6644,"Two Family","14","1823-12","N2",c(-73.1628174, 41.1901325)
"13050",13050,190727,2019,2020-02-14,"955 CAPITAL AVE UNIT O",53280,115000,0.4633,"Condo",NA,"1433-36","NX1",c(-73.2072019, 41.1932097)
"13051",13051,190729,2019,2020-02-14,"1486 CAPITOL AVE UNIT E502",94110,169000,0.5569,"Condo",NA,"1345-41K","RX2",c(-73.2154963, 41.1896353)
"13052",13052,190730,2019,2020-02-14,"104 CLEVELAND AVE",162640,140000,1.1617,"Four Family","25","1433-14","NX1",c(-73.2071397, 41.1928072)
"13053",13053,190736,2019,2020-02-18,"176 PARK ST",104000,229000,0.4541,"Two Family",NA,"1634-4","NX2",c(-73.183069, 41.1897534)
"13054",13054,190741,2019,2020-02-18,"69 AMSTERDAM AVE",102860,165000,0.6234,"Single Family",NA,"2219-7","NX1",c(-73.2105028, 41.1995642)
"13055",13055,190748,2019,2020-02-19,"122 INDIAN FIELD RD",110090,227000,0.485,"Single Family",NA,"2509C-5","N4",c(-73.2232812, 41.221622)
"13056",13056,190750,2019,2020-02-19,"912 BIRMINGHAM ST",121110,225000,0.5383,"Single Family",NA,"2338-14","N2",c(-73.2217318, 41.2047099)
"13057",13057,190751,2019,2020-02-19,"424 SAUNDERS AVE",158600,346500,0.4577,"Single Family","7","2718-9","N2",c(-73.1963797, 41.2117341)
"13058",13058,190752,2019,2020-02-19,"728-730 ARCTIC ST",137080,175000,0.7833,"Two Family",NA,"1754-12","NX2",c(-73.175831, 41.188799)
"13059",13059,190755,2019,2020-02-20,"95-95 ROOSEVELT ST",125780,275000,0.4574,"Three Family","4","1668-7","NX2",c(-73.1847612, 41.1983303)
"13060",13060,190756,2019,2020-02-20,"472 HOLLISTER AVE",76250,87500,0.8714,"Single Family","25","712-2","NX2",c(-73.161968, 41.1813364)
"13061",13061,190757,2019,2020-02-20,"163 FEDERAL ST",111120,410000,0.271,"Two Family",NA,"1405-24","NX1",c(-73.202415, 41.1945211)
"13062",13062,190758,2019,2020-02-20,"106 TUDOR ST",105580,310000,0.3406,"Two Family","7","1909-1","NX2",c(-73.1667619, 41.1957894)
"13063",13063,190759,2019,2020-02-21,"755-761 HOWARD AVE",94620,220000,0.4301,"Two Family",NA,"1226-28","N1",c(-73.2104452, 41.171712)
"13064",13064,190762,2019,2020-02-24,"66 HANFORD AVE",115300,69300,1.6638,"Single Family","14","121-7","NX1",c(-73.2275904, 41.1550608)
"13065",13065,190763,2019,2020-02-24,"163 ANDOVER ST",81440,150000,0.5429,NA,"25","308-32","CX",c(-73.2177184, 41.1654705)
"13066",13066,190765,2019,2020-02-24,"448-450 POPLAR ST",112100,205000,0.5468,"Three Family",NA,"1203-4","NX2",c(-73.217671, 41.176091)
"13067",13067,190767,2019,2020-02-24,"221 WILMOT AVE",89090,85000,1.0481,"Single Family",NA,"634-32","NX2",c(-73.1618752, 41.177077)
"13068",13068,190768,2019,2020-02-24,"60 READ ST",16210,7000,2.3157,NA,"25","640-17","NX2",c(-73.1562809, 41.1788941)
"13069",13069,190769,2019,2020-02-24,"61-63 TROWEL ST",118600,270000,0.4393,"Three Family","1","615-10","NX2",c(-73.16742, 41.172935)
"13070",13070,190771,2019,2020-02-24,"63 FAIRBANKS ST",67060,1e+05,0.6706,"Single Family",NA,"1935-5A","N2",c(-73.1587562, 41.194055)
"13071",13071,190773,2019,2020-02-25,"249-252 CEDAR ST",121770,135000,0.902,"Three Family","14","843-7","NX2",c(-73.1766019, 41.1802792)
"13072",13072,190774,2019,2020-02-25,"20 RALEIGH RD",144040,285000,0.5054,"Single Family",NA,"2542-7","N4",c(-73.2387098, 41.2268973)
"13073",13073,190776,2019,2020-02-25,"24 CIRCULAR AVE UNIT 3A",33560,65100,0.5155,"Single Family","25","245-7A","NX2",c(-73.2233242, 41.1596485)
"13074",13074,190777,2019,2020-02-25,"59 RENNELL ST UNIT 11",814080,25000,32.5632,NA,"8","412-9","NX3",c(-73.19525, 41.16474)
"13075",13075,190778,2019,2020-02-25,"126 ASYLUM ST",59670,80000,0.7459,"Single Family",NA,"2045-19","NX2",c(-73.1760301, 41.198188)
"13076",13076,190780,2019,2020-02-25,"660 LINDLEY ST",193570,5e+05,0.3871,NA,NA,"2130-1B","RX2",c(-73.1973, 41.200013)
"13077",13077,190783,2019,2020-02-26,"220 SUNRISE TER",121930,176000,0.6928,"Single Family",NA,"2375-40","N4",c(-73.2183404, 41.213746)
"13078",13078,190790,2019,2020-02-27,"191 BEAR PAW RD",123600,260000,0.4754,"Single Family",NA,"2509C-19","N4",c(-73.2242161, 41.2219143)
"13079",13079,190794,2019,2020-02-28,"116-118 LIVINGSTON PL",159940,340000,0.4704,"Two Family","14","2008-36","NX1",c(-73.1807678, 41.2076207)
"13080",13080,190797,2019,2020-03-02,"305 PIXLEE PL",74070,145000,0.5108,"Single Family",NA,"1825-9","NX1",c(-73.1605994, 41.1927233)
"13081",13081,190798,2019,2020-03-02,"18-22 SILLIMAN AVE",97810,290000,0.3373,"Three Family",NA,"1219-4","I",c(-73.215448, 41.169281)
"13082",13082,190801,2019,2020-03-02,"489 AMSTERDAM AVE",129790,260000,0.4992,"Single Family",NA,"2270-12","N2",c(-73.2117135, 41.2050478)
"13083",13083,190804,2019,2020-03-02,"582 STILLMAN ST",77040,112000,0.6879,"Single Family",NA,"1731-16","NX2",c(-73.1774915, 41.1922628)
"13084",13084,190805,2019,2020-03-02,"560 NORMAN ST",10140,7000,1.4486,NA,"14","1132-9","NX1",c(-73.202874, 41.17664)
"13085",13085,190806,2019,2020-03-02,"85 HUNTINGTON TPKE UNIT 85",53440,49000,1.0906,"Condo","1","2800-4K","NX3",c(-73.1782287, 41.2116298)
"13086",13086,190809,2019,2020-03-02,"128 EAST AVE",158980,440000,0.3613,"Four Family",NA,"1834-9","I",c(-73.1577416, 41.1876776)
"13087",13087,190812,2019,2020-03-02,"36-38 LANSING ST",136950,260000,0.5267,"Two Family",NA,"2734-1","N2",c(-73.19317, 41.21407)
"13088",13088,190815,2019,2020-03-03,"295 SAILORS LANE",359500,478000,0.7521,"Single Family",NA,"125-3","N3",c(-73.2299406, 41.1467927)
"13089",13089,190820,2019,2020-03-03,"477-489 PEQUONNOCK ST",102570,215000,0.4771,NA,NA,"1012-16","MXN",c(-73.203562, 41.182057)
"13090",13090,190822,2019,2020-03-03,"71 BOOTH ST",30070,65000,0.4626,NA,NA,"822-15","NX2",c(-73.180265, 41.181914)
"13091",13091,190829,2019,2020-03-03,"275 JEWETT ST",119260,205000,0.5818,"Single Family","11","2384-11A","N2",c(-73.215416, 41.211314)
"13092",13092,190834,2019,2020-03-04,"130-132 WILSON ST",170460,260000,0.6556,"Three Family",NA,"100-10","NX1",c(-73.2285799, 41.15841)
"13093",13093,190835,2019,2020-03-04,"388-390 DAVIDSON ST",166710,350000,0.4763,"Three Family",NA,"104-6","NX1",c(-73.2318677, 41.1563113)
"13094",13094,190838,2019,2020-03-05,"263 CHARLES ST",112390,310000,0.3625,"Two Family","7","1404-27","NX2",c(-73.2003354, 41.1942225)
"13095",13095,190839,2019,2020-03-05,"231-233 SUMMERFIELD AVE",98860,107500,0.9196,"Two Family","25","1823-38","NX1",c(-73.162135, 41.190851)
"13096",13096,190843,2019,2020-03-05,"26 COURT A BLDG 27 SUCCESS VIL",16797235,68250,246.1133,NA,"8","1939-54","NX3",c(-73.1573965, 41.1975572)
"13097",13097,190847,2019,2020-03-09,"261-263 ATLANTIC ST",104720,165000,0.6347,"Two Family",NA,"532-20","NX2",c(-73.18907, 41.16728)
"13098",13098,190849,2019,2020-03-09,"284 BURNSFORD AVE",92000,160000,0.575,"Single Family",NA,"2391-31","N2",c(-73.2137792, 41.2085492)
"13099",13099,190851,2019,2020-03-09,"221 HUNTINGTON RD UNIT A",17560,56500,0.3108,"Condo","25","1665-5","NX3",c(-73.1846283, 41.1966389)
"13100",13100,190855,2019,2020-03-10,"34 TOM THUMB ST",156880,284900,0.5506,"Four Family",NA,"1403-9","NX2",c(-73.1982126, 41.1923307)
"13101",13101,190858,2019,2020-03-10,"2811 FAIRFIELD AVE UNIT 1",1892200,79900,23.6821,NA,"8","227-1","NX3",c(-73.2259758, 41.1576842)
"13102",13102,190859,2019,2020-03-11,"25-27 SEDGEWICK ST",133830,288400,0.464,"Two Family",NA,"1401-11","NX2",c(-73.198543, 41.191001)
"13103",13103,190860,2019,2020-03-11,"25-27 SEDGEWICK ST",133830,288400,0.464,"Two Family","25","1401-11","NX2",c(-73.198543, 41.191001)
"13104",13104,190864,2019,2020-03-11,"44 HADDON ST APT 11",1892200,55000,34.4036,NA,"8","228-1","NX3",c(-73.2251298, 41.1576157)
"13105",13105,190866,2019,2020-03-12,"35H LESLIE RD",64520,45000,1.4338,"Condo","8","2511-3B","NX3",c(-73.2269918, 41.2160159)
"13106",13106,190870,2019,2020-03-12,"2050 NORTH AVE",164170,325000,0.5051,"Single Family",NA,"1309-19","NX1",c(-73.2112865, 41.1811232)
"13107",13107,190872,2019,2020-03-12,"45 COLUMBIA ST",115200,180000,0.64,"Three Family","14","408-11","NX2",c(-73.194931, 41.1661834)
"13108",13108,190873,2019,2020-03-12,"363-365 CATHERINE ST",133730,281000,0.4759,"Three Family",NA,"1018-6","NX2",c(-73.1988651, 41.186782)
"13109",13109,190874,2019,2020-03-12,"149 EAGLE ST",128300,185325,0.6923,"Three Family","14","630-8","NX3",c(-73.169061, 41.1742859)
"13110",13110,190875,2019,2020-03-12,"1644 RESERVOIR AVE",157040,220000,0.7138,"Single Family",NA,"2797-25","N2",c(-73.1935227, 41.2229049)
"13111",13111,190878,2019,2020-03-25,"39-41 SAMPSON ST",170060,349000,0.4873,"Two Family",NA,"2240-26","N2",c(-73.2106772, 41.1946897)
"13112",13112,190879,2019,2020-03-25,"151 ROGER WILLIAMS RD",110840,162000,0.6842,"Single Family","14","2816-13","N2",c(-73.1699338, 41.2171098)
"13113",13113,190881,2019,2020-03-25,"457 LINCOLN AVE",103230,209000,0.4939,"Single Family",NA,"2205-32","NX1",c(-73.2081832, 41.1944849)
"13114",13114,190888,2019,2020-03-25,"108 ACTON RD",136250,220000,0.6193,"Single Family",NA,"2506A-9A","N4",c(-73.2234609, 41.2242809)
"13115",13115,190892,2019,2020-03-25,"228 BUNNELL ST",71110,185000,0.3844,"Single Family","7","735-6","NX2",c(-73.1671244, 41.1811963)
